Customer_ID,Age,Gender,Income,Location,Campaign_ID,Product_Purchased,Purchase_Amount,Engagement_Score,Campaign_Channel,Campaign_Response_Time,Discount_Used,Satisfaction_Score
C0001,56,Female,60215.73,Illinois,M010,Product D,159.42,8.3,Push Notification,43,FALSE,4
C0002,69,Male,62853.16,Texas,M010,Product D,307.47,2.8,Push Notification,36,FALSE,6
C0003,46,Male,56348.9,Florida,M004,Product A,151.75,6,Social Media,38,TRUE,6.6
C0004,32,Female,61728.6,Florida,M017,Product D,373.26,9.2,Push Notification,17.8,TRUE,3.4
C0005,60,Male,79469.1,Florida,M017,Product C,356.12,3.7,SMS,65.8,TRUE,3.1
C0006,25,Male,69691.25,Illinois,M019,Product B,239.57,1.7,Email,16.2,TRUE,9
C0007,38,Female,70518.83,New York,M006,Product A,61.51,6,SMS,12.2,FALSE,6.8
C0008,56,Male,70846.05,New York,M001,Product C,60.19,2.6,SMS,67,TRUE,3.8
C0009,36,Female,57692.87,California,M014,Product A,289.76,7.6,SMS,19.3,TRUE,6
C0010,40,Female,64782.41,California,M013,Product A,427.64,6.3,Email,62.2,TRUE,7.4
C0011,28,Male,43722.39,California,M003,Product D,319.49,4.1,Social Media,55.8,TRUE,1.2
C0012,28,Female,79032.11,Illinois,M002,Product B,246.04,7.4,Email,28.1,TRUE,9.3
C0013,41,Male,18255.59,Texas,M007,Product C,446.95,3.1,Push Notification,19,FALSE,7.5
C0014,53,Male,58692.77,New York,M012,Product A,138.65,9.3,Social Media,54.9,FALSE,4.5
C0015,57,Male,77113.44,California,M002,Product A,211.74,4.1,Social Media,43.4,TRUE,9.4
C0016,41,Male,39541.98,Illinois,M011,Product D,304.39,7.9,Push Notification,19,TRUE,1.5
C0017,20,Female,65996.7,Illinois,M016,Product C,181.25,3.3,Push Notification,64.3,TRUE,7.8
C0018,39,Male,49788.5,California,M005,Product D,498.97,7.4,Social Media,52.2,FALSE,5.7
C0019,19,Male,54467.95,Florida,M017,Product D,253.54,1.3,Push Notification,65.6,FALSE,7
C0020,41,Male,74189.11,Florida,M003,Product C,73.28,3.7,Social Media,32.1,TRUE,5.2
C0021,61,Female,62970.85,Florida,M014,Product B,129.24,1.8,Push Notification,10.1,FALSE,2.3
C0022,47,Female,29484.66,California,M016,Product D,289.62,5.1,Social Media,66.6,TRUE,3.3
C0023,55,Male,45353.62,Illinois,M017,Product A,297.53,4.9,Email,43.7,TRUE,5.2
C0024,19,Male,74630.04,Illinois,M019,Product B,492.86,4.2,Email,44,FALSE,9.3
C0025,38,Male,66734.14,New York,M004,Product A,319.98,9.8,Push Notification,42.5,TRUE,1.6
C0026,50,Male,86222.03,Florida,M020,Product B,349.98,3.2,Push Notification,34.5,TRUE,1.9
C0027,29,Female,85239.71,California,M020,Product A,146.18,8.1,Social Media,19.1,TRUE,2.4
C0028,39,Female,54866.32,New York,M009,Product D,98.09,5,SMS,44.5,TRUE,6.7
C0029,61,Male,97548.57,Illinois,M011,Product D,320.9,4,Push Notification,52,TRUE,4.3
C0030,42,Male,60367.2,New York,M005,Product D,439.2,2.8,Email,66.1,FALSE,2.3
C0031,66,Male,45559.97,Florida,M011,Product C,314.32,6.7,Push Notification,6.1,FALSE,2.1
C0032,44,Female,50495.4,Texas,M013,Product D,249.25,4,Social Media,19.1,FALSE,7.1
C0033,59,Male,26149.12,Florida,M002,Product B,310.19,8.3,Social Media,56.1,TRUE,5.2
C0034,45,Non-Binary,84105.29,Florida,M002,Product D,260.95,9.7,Push Notification,56,TRUE,8.9
C0035,33,Female,83921.43,California,M010,Product C,113.85,3,Push Notification,16.1,FALSE,4.6
C0036,32,Male,44767.39,Texas,M013,Product A,383.53,2.2,SMS,14.1,FALSE,6.9
C0037,64,Female,56581.74,Texas,M005,Product C,289.87,3.8,SMS,27.1,TRUE,8.2
C0038,68,Female,61434.11,Texas,M011,Product B,229.7,5.2,Social Media,5.5,TRUE,9.6
C0039,61,Female,45594.7,Illinois,M015,Product B,301.84,3.7,SMS,52.9,TRUE,8.8
C0040,69,Male,33673.47,New York,M005,Product C,158.55,9.7,Email,48.6,FALSE,8
C0041,20,Male,56844.64,Illinois,M020,Product A,242.58,8,Push Notification,62,TRUE,4.7
C0042,54,Female,55183.81,Texas,M005,Product D,330.1,9.7,Push Notification,31.5,TRUE,9.8
C0043,68,Female,54173.83,California,M007,Product B,151.79,4.4,Social Media,46.2,FALSE,3.4
C0044,24,Female,63340.74,Florida,M010,Product D,387.05,3.7,Push Notification,68.7,FALSE,7
C0045,38,Female,81442.79,Florida,M002,Product A,284.45,4.7,Email,69.1,TRUE,2.2
C0046,26,Female,55453.61,Illinois,M001,Product B,437.77,5.7,Social Media,6,FALSE,6.5
C0047,56,Female,62556.64,Illinois,M020,Product A,431.26,7.7,Push Notification,1.1,TRUE,7.2
C0048,35,Male,70903.06,California,M001,Product A,272.53,8.9,Email,69.2,FALSE,1.8
C0049,21,Female,68312.14,Florida,M004,Product C,137.96,5.2,Social Media,39,FALSE,3.7
C0050,42,Female,50783.65,Illinois,M015,Product A,381.49,3.6,Email,50.7,TRUE,6.8
C0051,31,Female,61445.66,New York,M015,Product B,238.41,3.9,Push Notification,65.8,TRUE,6.4
C0052,67,Female,68213.1,Illinois,M006,Product C,317.58,7.3,SMS,31.8,FALSE,7
